Inicio: 22/11/2023 14:50:35,02 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 60 min - Log: simple-videos.txt
22/11/2023 15:32:45,18 113982
22/11/2023 15:32:50,14 117413
22/11/2023 15:32:55,14 114593
22/11/2023 15:33:01,16 114717
22/11/2023 15:33:06,13 116100
22/11/2023 15:33:11,13 113370
22/11/2023 15:33:16,21 113408
22/11/2023 15:33:22,17 115473
22/11/2023 15:33:24,06 113401
22/11/2023 15:33:29,16 113941
22/11/2023 15:33:35,14 117047
22/11/2023 15:33:41,14 114895
22/11/2023 15:33:47,13 114724
22/11/2023 15:33:52,14 114140
22/11/2023 15:33:57,13 114140
22/11/2023 15:34:02,19 117079
22/11/2023 15:34:08,15 114700
22/11/2023 15:34:13,13 114568
22/11/2023 15:34:19,14 116208
22/11/2023 15:34:24,12 113344
22/11/2023 15:34:29,14 113306
22/11/2023 15:34:34,13 115363
22/11/2023 15:34:39,13 113974
22/11/2023 15:34:45,12 114596
22/11/2023 15:34:46,37 113983
22/11/2023 15:34:52,18 114655
22/11/2023 15:34:58,21 114635
22/11/2023 15:35:04,21 114335
22/11/2023 15:35:10,19 114139
22/11/2023 15:35:16,14 117124
22/11/2023 15:35:22,17 114733
22/11/2023 15:35:28,21 114853
22/11/2023 15:35:34,20 116377
22/11/2023 15:35:40,18 113698
22/11/2023 15:35:46,18 113509
22/11/2023 15:35:52,17 115366
22/11/2023 15:35:58,15 113614
22/11/2023 15:36:03,19 116489
22/11/2023 15:36:09,14 114451
22/11/2023 15:36:15,23 114174
22/11/2023 15:36:21,21 113540
22/11/2023 15:36:27,22 113554
22/11/2023 15:36:33,20 116999
22/11/2023 15:36:39,12 114202
22/11/2023 15:36:45,20 114182
22/11/2023 15:36:51,16 116061
22/11/2023 15:36:57,17 113255
22/11/2023 15:37:03,14 115121
22/11/2023 15:37:09,13 113773
22/11/2023 15:37:15,14 118004
22/11/2023 15:37:21,22 115458
22/11/2023 15:37:27,20 115502
22/11/2023 15:37:33,22 114806
22/11/2023 15:37:39,16 114714
22/11/2023 15:37:45,11 117814
22/11/2023 15:37:51,13 115376
22/11/2023 15:37:57,13 115356
22/11/2023 15:38:03,21 117027
22/11/2023 15:38:09,21 114234
22/11/2023 15:38:15,16 113927
22/11/2023 15:38:21,21 116663
22/11/2023 15:38:27,18 118288
22/11/2023 15:38:33,12 115695
22/11/2023 15:38:38,22 115583
22/11/2023 15:38:44,17 115447
22/11/2023 15:38:50,22 114935
22/11/2023 15:38:56,21 114931
22/11/2023 15:39:02,19 118397
22/11/2023 15:39:08,14 115533
22/11/2023 15:39:14,16 113566
22/11/2023 15:39:20,20 114410
22/11/2023 15:39:26,18 114436
22/11/2023 15:39:32,20 116347
22/11/2023 15:39:38,16 114975
22/11/2023 15:39:44,17 118007
22/11/2023 15:39:50,21 115807
22/11/2023 15:39:56,25 115718
22/11/2023 15:40:02,21 114927
22/11/2023 15:40:08,12 114918
22/11/2023 15:40:13,21 118071
22/11/2023 15:40:19,21 115645
22/11/2023 15:40:25,21 115645
22/11/2023 15:40:31,20 117185
22/11/2023 15:40:37,17 114501
22/11/2023 15:40:43,15 114249
22/11/2023 15:40:49,18 113710
22/11/2023 15:40:55,18 82393
22/11/2023 15:41:01,22 115242
22/11/2023 15:41:07,18 115254
22/11/2023 15:41:13,13 114856
22/11/2023 15:41:19,13 114460
22/11/2023 15:41:24,14 114279
22/11/2023 15:41:29,13 82660
22/11/2023 15:41:34,12 77310
22/11/2023 15:41:40,22 77255
22/11/2023 15:41:46,15 83569
22/11/2023 15:41:52,19 81726
22/11/2023 15:41:58,13 81702
22/11/2023 15:42:03,16 84359
22/11/2023 15:42:09,19 85165
22/11/2023 15:42:15,22 84592
22/11/2023 15:42:21,13 82088
22/11/2023 15:42:26,16 82096
22/11/2023 15:42:32,21 82076
22/11/2023 15:42:38,15 82080
22/11/2023 15:42:44,17 84837
22/11/2023 15:42:50,18 82089
22/11/2023 15:42:56,15 86309
22/11/2023 15:43:02,14 84168
22/11/2023 15:43:08,20 82543
22/11/2023 15:43:14,16 84881
22/11/2023 15:43:20,20 82237
22/11/2023 15:43:26,15 83492
22/11/2023 15:43:32,24 80351
22/11/2023 15:43:38,20 80307
22/11/2023 15:43:44,16 80315
22/11/2023 15:43:49,18 80323
22/11/2023 15:43:55,18 82766
22/11/2023 15:44:01,20 80018
22/11/2023 15:44:07,13 79982
22/11/2023 15:44:13,14 81898
22/11/2023 15:44:18,16 80030
22/11/2023 15:44:23,23 79998
22/11/2023 15:44:29,17 82443
22/11/2023 15:44:35,18 80153
22/11/2023 15:44:41,19 82739
22/11/2023 15:44:47,22 79975
22/11/2023 15:44:53,12 79935
22/11/2023 15:44:58,16 79947
22/11/2023 15:45:03,18 79943
22/11/2023 15:45:09,20 83651
22/11/2023 15:45:15,17 80027
22/11/2023 15:45:21,19 79995
22/11/2023 15:45:26,17 81303
22/11/2023 15:45:32,15 79396
22/11/2023 15:45:38,17 79397
22/11/2023 15:45:44,18 81761
22/11/2023 15:45:50,18 79465
22/11/2023 15:45:56,21 82001
22/11/2023 15:46:02,13 79243
22/11/2023 15:46:08,22 79219
22/11/2023 15:46:14,19 79215
22/11/2023 15:46:19,13 79223
22/11/2023 15:46:24,18 82173
22/11/2023 15:46:30,19 79117
22/11/2023 15:46:36,14 79085
22/11/2023 15:46:42,18 81725
22/11/2023 15:46:48,18 79849
22/11/2023 15:46:54,17 79817
22/11/2023 15:47:00,14 82239
22/11/2023 15:47:06,15 83185
22/11/2023 15:47:11,12 79935
22/11/2023 15:47:16,22 79890
22/11/2023 15:47:22,21 79887
22/11/2023 15:47:28,14 79854
22/11/2023 15:47:34,17 79862
22/11/2023 15:47:40,12 82623
22/11/2023 15:47:46,16 79883
22/11/2023 15:47:51,13 79893
22/11/2023 15:47:56,12 81785
22/11/2023 15:48:01,18 79909
22/11/2023 15:48:07,13 79889
22/11/2023 15:48:12,12 82864
22/11/2023 15:48:17,12 79982
22/11/2023 15:48:22,19 82782
22/11/2023 15:48:28,13 79967
22/11/2023 15:48:33,22 79935
22/11/2023 15:48:39,13 79947
22/11/2023 15:48:45,21 79935
22/11/2023 15:48:51,19 83550
22/11/2023 15:48:57,14 80366
22/11/2023 15:49:02,21 80409
22/11/2023 15:49:08,16 82517
22/11/2023 15:49:13,15 80641
22/11/2023 15:49:19,13 80570
22/11/2023 15:49:25,22 82921
22/11/2023 15:49:31,22 80633
22/11/2023 15:49:37,21 83412
22/11/2023 15:49:43,15 80660
22/11/2023 15:49:49,22 80640
22/11/2023 15:49:55,13 80636
