Inicio: 25/11/2023  2:16:57,29 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: key-prop-no-anonymous-func.txt
25/11/2023 03:18:52,18 102949
25/11/2023 03:18:58,19 102973
25/11/2023 03:19:04,19 113604
25/11/2023 03:19:10,21 113680
25/11/2023 03:19:16,21 102040
25/11/2023 03:19:22,22 102274
25/11/2023 03:19:28,22 114403
25/11/2023 03:19:34,12 109355
25/11/2023 03:19:40,14 105050
25/11/2023 03:19:46,15 104186
25/11/2023 03:19:52,16 99114
25/11/2023 03:19:58,13 105827
25/11/2023 03:20:04,20 106003
25/11/2023 03:20:10,17 105983
25/11/2023 03:20:16,18 100334
25/11/2023 03:20:22,21 97410
25/11/2023 03:20:28,12 112905
25/11/2023 03:20:34,17 110259
25/11/2023 03:20:40,15 100342
25/11/2023 03:20:46,15 98654
25/11/2023 03:20:52,16 98570
25/11/2023 03:20:58,15 98602
25/11/2023 03:21:04,18 93968
25/11/2023 03:21:10,20 103421
25/11/2023 03:21:16,13 103254
25/11/2023 03:21:22,14 100064
25/11/2023 03:21:28,12 100078
25/11/2023 03:21:34,13 109466
25/11/2023 03:21:40,15 104231
25/11/2023 03:21:46,20 95448
25/11/2023 03:21:52,15 94449
25/11/2023 03:21:58,21 104712
25/11/2023 03:22:04,11 93596
25/11/2023 03:22:10,19 93839
25/11/2023 03:22:16,14 93747
25/11/2023 03:22:22,19 96727
25/11/2023 03:22:28,15 93743
25/11/2023 03:22:34,11 104553
25/11/2023 03:22:40,14 101887
25/11/2023 03:22:46,13 95365
25/11/2023 03:22:52,15 93761
25/11/2023 03:22:58,12 93613
25/11/2023 03:23:04,13 93605
25/11/2023 03:23:10,14 93621
25/11/2023 03:23:16,22 113717
25/11/2023 03:23:22,13 114005
25/11/2023 03:23:28,21 96902
25/11/2023 03:23:34,15 97098
25/11/2023 03:23:40,15 99054
25/11/2023 03:23:46,18 93679
25/11/2023 03:23:52,22 97073
25/11/2023 03:23:58,17 96085
25/11/2023 03:24:04,12 94112
25/11/2023 03:24:10,14 104035
25/11/2023 03:24:16,17 104263
25/11/2023 03:24:22,20 104219
25/11/2023 03:24:28,10 134780
25/11/2023 03:24:34,17 131856
