Inicio: 23/11/2023 11:47:10,79 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: unloadAsync-refatorado.txt
23/11/2023 13:38:23,12 109187
23/11/2023 13:38:34,18 112181
23/11/2023 13:38:45,21 118843
23/11/2023 13:38:56,22 119655
23/11/2023 13:39:07,14 119635
23/11/2023 13:39:18,14 119308
23/11/2023 13:39:29,19 119081
23/11/2023 13:39:40,16 118906
23/11/2023 13:39:51,20 117206
23/11/2023 13:40:02,14 117140
23/11/2023 13:40:13,18 117097
23/11/2023 13:40:24,16 127449
23/11/2023 13:40:35,15 80869
23/11/2023 13:40:46,14 82135
23/11/2023 13:40:57,15 79908
23/11/2023 13:41:08,18 77848
23/11/2023 13:41:19,13 78972
23/11/2023 13:41:30,11 97990
23/11/2023 13:41:40,21 100704
23/11/2023 13:41:51,20 102556
23/11/2023 13:42:02,20 107360
23/11/2023 13:42:13,17 109607
23/11/2023 13:42:24,17 109957
23/11/2023 13:42:35,22 116785
23/11/2023 13:42:46,13 117221
23/11/2023 13:42:57,11 117232
23/11/2023 13:43:08,18 117170
23/11/2023 13:43:19,17 117105
23/11/2023 13:43:30,21 116658
23/11/2023 13:43:41,21 115378
23/11/2023 13:43:52,19 115370
23/11/2023 13:44:03,20 115378
23/11/2023 13:44:14,14 85576
23/11/2023 13:44:25,14 76585
23/11/2023 13:44:36,11 77423
23/11/2023 13:44:47,21 80179
23/11/2023 13:44:58,21 80555
23/11/2023 13:45:09,19 80530
23/11/2023 13:45:20,17 99421
23/11/2023 13:45:31,16 101048
23/11/2023 13:45:42,23 101212
23/11/2023 13:45:53,19 107096
23/11/2023 13:46:04,19 111169
23/11/2023 13:46:15,18 113690
23/11/2023 13:46:26,22 117438
23/11/2023 13:46:37,17 117850
23/11/2023 13:46:48,12 117858
23/11/2023 13:46:59,12 117858
23/11/2023 13:47:10,11 117908
23/11/2023 13:47:21,11 114852
23/11/2023 13:47:32,18 112509
23/11/2023 13:47:43,12 111001
23/11/2023 13:47:54,13 111044
23/11/2023 13:48:05,14 85919
23/11/2023 13:48:16,20 78202
23/11/2023 13:48:27,12 83139
23/11/2023 13:48:38,21 77804
23/11/2023 13:48:49,15 79039
23/11/2023 13:49:00,18 78910
23/11/2023 13:49:11,13 107877
23/11/2023 13:49:22,15 108815
23/11/2023 13:49:33,19 112323
23/11/2023 13:49:44,15 114983
23/11/2023 13:49:55,17 119079
23/11/2023 13:50:06,20 124908
23/11/2023 13:50:17,18 126019
23/11/2023 13:50:28,13 125849
23/11/2023 13:50:39,19 125863
23/11/2023 13:50:50,16 125771
23/11/2023 13:51:01,14 125304
23/11/2023 13:51:12,14 124265
23/11/2023 13:51:23,12 124121
23/11/2023 13:51:34,19 124115
23/11/2023 13:51:45,11 129761
23/11/2023 13:51:56,13 87922
23/11/2023 13:52:07,15 81213
23/11/2023 13:52:18,14 79947
23/11/2023 13:52:28,16 89711
23/11/2023 13:52:39,19 91001
23/11/2023 13:52:50,16 90969
23/11/2023 13:53:01,15 102773
23/11/2023 13:53:12,22 104603
23/11/2023 13:53:23,16 109127
23/11/2023 13:53:34,19 111299
23/11/2023 13:53:45,13 114126
23/11/2023 13:53:56,20 119330
23/11/2023 13:54:07,17 119313
23/11/2023 13:54:18,20 119014
23/11/2023 13:54:29,12 118990
23/11/2023 13:54:40,13 119001
23/11/2023 13:54:51,15 118924
23/11/2023 13:55:02,13 117356
23/11/2023 13:55:12,13 117344
23/11/2023 13:55:23,19 117364
23/11/2023 13:55:34,19 126643
23/11/2023 13:55:45,16 77148
23/11/2023 13:55:56,15 78253
23/11/2023 13:56:07,27 76260
23/11/2023 13:56:18,13 79900
23/11/2023 13:56:29,15 81158
23/11/2023 13:56:39,16 80994
23/11/2023 13:56:50,17 100089
23/11/2023 13:57:01,18 102151
23/11/2023 13:57:12,16 106356
23/11/2023 13:57:23,26 109633
23/11/2023 13:57:34,21 111034
23/11/2023 13:57:45,21 112103
23/11/2023 13:57:56,11 113798
23/11/2023 13:58:07,20 114357
23/11/2023 13:58:18,16 114289
23/11/2023 13:58:29,12 114358
23/11/2023 13:58:40,13 114569
23/11/2023 13:58:51,15 113309
23/11/2023 13:59:02,14 113301
23/11/2023 13:59:13,21 113305
23/11/2023 13:59:24,14 77134
23/11/2023 13:59:35,16 75710
23/11/2023 13:59:45,21 73460
23/11/2023 13:59:56,11 79875
23/11/2023 14:00:06,22 80903
23/11/2023 14:00:17,12 78608
23/11/2023 14:00:27,19 80068
23/11/2023 14:00:38,17 81680
23/11/2023 14:00:49,13 78704
23/11/2023 14:01:00,21 78692
23/11/2023 14:01:11,13 78680
23/11/2023 14:01:22,12 78688
23/11/2023 14:01:33,21 78650
23/11/2023 14:01:43,18 78676
23/11/2023 14:01:53,14 78664
23/11/2023 14:02:03,13 78676
23/11/2023 14:02:14,16 78668
23/11/2023 14:02:25,14 78459
23/11/2023 14:02:35,12 78443
23/11/2023 14:02:46,16 78464
23/11/2023 14:02:57,20 78434
23/11/2023 14:03:08,17 81392
23/11/2023 14:03:18,11 78636
23/11/2023 14:03:28,16 81805
23/11/2023 14:03:38,13 80959
23/11/2023 14:03:49,22 81735
23/11/2023 14:04:00,19 79423
23/11/2023 14:04:11,12 79391
23/11/2023 14:04:21,15 82591
23/11/2023 14:04:31,18 79423
23/11/2023 14:04:41,15 79385
23/11/2023 14:04:52,21 79349
23/11/2023 14:05:02,16 79345
23/11/2023 14:05:13,18 79349
23/11/2023 14:05:24,12 79353
23/11/2023 14:05:34,15 79341
23/11/2023 14:05:44,16 78863
23/11/2023 14:05:55,16 78797
23/11/2023 14:06:05,14 78750
23/11/2023 14:06:16,21 78762
