Inicio: 23/11/2023 16:00:57,08 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: prevent-not-rendering.txt
23/11/2023 17:37:58,13 115213
23/11/2023 17:38:09,14 121674
23/11/2023 17:38:20,19 122129
23/11/2023 17:38:31,15 121570
23/11/2023 17:38:42,17 120764
23/11/2023 17:38:53,13 120756
23/11/2023 17:39:04,21 120152
23/11/2023 17:39:15,22 119104
23/11/2023 17:39:26,16 119085
23/11/2023 17:39:37,18 119103
23/11/2023 17:39:48,13 89299
23/11/2023 17:39:59,18 86541
23/11/2023 17:40:10,18 97323
23/11/2023 17:40:21,22 97866
23/11/2023 17:40:32,15 99278
23/11/2023 17:40:43,13 99314
23/11/2023 17:40:54,19 124717
23/11/2023 17:41:05,11 125933
23/11/2023 17:41:16,11 127316
23/11/2023 17:41:27,12 131748
23/11/2023 17:41:38,21 134686
23/11/2023 17:41:49,15 138802
23/11/2023 17:42:00,20 138678
23/11/2023 17:42:11,12 139633
23/11/2023 17:42:22,14 139661
23/11/2023 17:42:33,19 139685
23/11/2023 17:42:44,12 139719
23/11/2023 17:42:55,14 138433
23/11/2023 17:43:06,15 137973
23/11/2023 17:43:17,20 137916
23/11/2023 17:43:28,19 131996
23/11/2023 17:43:39,17 90395
23/11/2023 17:43:50,12 84172
23/11/2023 17:44:01,17 104439
23/11/2023 17:44:12,18 86563
23/11/2023 17:44:23,22 87715
23/11/2023 17:44:34,14 87598
23/11/2023 17:44:45,19 100145
23/11/2023 17:44:56,12 102041
23/11/2023 17:45:07,12 106310
23/11/2023 17:45:18,18 108845
23/11/2023 17:45:29,18 111635
23/11/2023 17:45:40,15 118303
23/11/2023 17:45:51,16 118672
23/11/2023 17:46:02,13 118546
23/11/2023 17:46:13,13 115229
23/11/2023 17:46:24,13 115474
23/11/2023 17:46:35,15 115660
23/11/2023 17:46:46,14 113810
23/11/2023 17:46:57,14 113791
23/11/2023 17:47:08,21 113894
23/11/2023 17:47:19,15 144415
23/11/2023 17:47:30,16 83209
23/11/2023 17:47:41,14 84349
23/11/2023 17:47:52,22 97627
23/11/2023 17:48:03,11 105185
23/11/2023 17:48:14,19 106322
23/11/2023 17:48:25,19 122187
23/11/2023 17:48:36,18 123224
23/11/2023 17:48:47,11 124916
23/11/2023 17:48:58,20 129689
23/11/2023 17:49:09,19 133324
23/11/2023 17:49:20,13 131130
23/11/2023 17:49:31,17 138067
23/11/2023 17:49:42,21 139205
23/11/2023 17:49:53,17 139039
23/11/2023 17:50:04,18 138872
23/11/2023 17:50:15,17 138946
23/11/2023 17:50:26,13 138748
23/11/2023 17:50:37,20 137588
23/11/2023 17:50:48,11 137724
23/11/2023 17:50:58,16 137720
23/11/2023 17:51:09,12 85964
23/11/2023 17:51:19,12 93218
23/11/2023 17:51:30,19 94378
23/11/2023 17:51:41,15 80949
23/11/2023 17:51:52,22 78297
23/11/2023 17:52:03,15 79375
23/11/2023 17:52:14,12 96149
23/11/2023 17:52:25,14 97525
23/11/2023 17:52:36,17 98174
23/11/2023 17:52:47,19 104845
23/11/2023 17:52:58,18 108608
23/11/2023 17:53:09,20 109481
23/11/2023 17:53:20,17 114667
23/11/2023 17:53:31,12 115112
23/11/2023 17:53:42,19 115093
23/11/2023 17:53:53,17 115103
23/11/2023 17:54:04,15 115172
23/11/2023 17:54:15,15 114724
23/11/2023 17:54:26,22 113778
23/11/2023 17:54:37,17 114071
23/11/2023 17:54:48,17 113716
23/11/2023 17:54:59,15 81346
23/11/2023 17:55:10,21 81482
23/11/2023 17:55:21,19 98753
23/11/2023 17:55:32,17 105719
23/11/2023 17:55:43,11 107053
23/11/2023 17:55:53,15 106941
23/11/2023 17:56:04,17 110640
23/11/2023 17:56:15,21 112091
23/11/2023 17:56:26,13 113344
23/11/2023 17:56:37,16 118189
23/11/2023 17:56:48,16 122024
23/11/2023 17:56:59,20 125912
23/11/2023 17:57:10,20 127976
23/11/2023 17:57:21,13 129620
23/11/2023 17:57:32,22 129611
23/11/2023 17:57:43,20 128913
23/11/2023 17:57:54,17 128952
23/11/2023 17:58:05,11 127680
23/11/2023 17:58:16,17 127187
23/11/2023 17:58:27,12 127160
23/11/2023 17:58:38,16 120564
23/11/2023 17:58:49,21 79052
23/11/2023 17:59:00,14 103129
23/11/2023 17:59:11,12 80408
23/11/2023 17:59:22,14 93538
23/11/2023 17:59:33,20 94660
23/11/2023 17:59:44,16 94687
23/11/2023 17:59:55,14 101041
23/11/2023 18:00:06,15 101406
23/11/2023 18:00:17,16 105392
23/11/2023 18:00:28,11 107559
23/11/2023 18:00:39,18 109733
23/11/2023 18:00:50,20 114901
23/11/2023 18:01:01,14 115007
23/11/2023 18:01:12,14 115008
23/11/2023 18:01:23,14 114974
23/11/2023 18:01:34,19 115028
23/11/2023 18:01:45,16 115866
23/11/2023 18:01:56,18 114158
23/11/2023 18:02:07,21 114150
23/11/2023 18:02:18,15 114025
23/11/2023 18:02:29,15 138156
23/11/2023 18:02:40,17 94533
23/11/2023 18:02:51,22 95773
23/11/2023 18:03:02,21 103333
23/11/2023 18:03:13,19 79391
23/11/2023 18:03:24,13 80529
23/11/2023 18:03:35,18 103183
23/11/2023 18:03:46,15 105939
23/11/2023 18:03:57,11 107751
23/11/2023 18:04:08,11 112869
23/11/2023 18:04:19,14 115361
23/11/2023 18:04:30,18 116708
23/11/2023 18:04:41,15 123983
23/11/2023 18:04:52,12 124569
23/11/2023 18:05:03,14 124208
23/11/2023 18:05:14,18 124216
23/11/2023 18:05:25,12 124246
23/11/2023 18:05:36,19 123520
23/11/2023 18:05:47,13 120618
23/11/2023 18:05:58,19 118797
23/11/2023 18:06:09,20 118381
23/11/2023 18:06:20,20 89069
23/11/2023 18:06:31,15 80730
23/11/2023 18:06:41,13 81494
23/11/2023 18:06:51,17 82921
23/11/2023 18:07:02,14 80664
23/11/2023 18:07:13,20 81828
23/11/2023 18:07:24,12 108532
23/11/2023 18:07:35,15 109830
23/11/2023 18:07:46,13 110346
23/11/2023 18:07:57,19 117080
23/11/2023 18:08:08,13 120464
23/11/2023 18:08:19,15 122322
23/11/2023 18:08:30,15 127792
23/11/2023 18:08:41,18 128308
23/11/2023 18:08:52,18 128312
23/11/2023 18:09:03,15 128284
23/11/2023 18:09:14,13 128322
23/11/2023 18:09:25,19 127493
23/11/2023 18:09:36,21 117516
23/11/2023 18:12:37,11 139608
23/11/2023 18:12:48,12 139338
23/11/2023 18:12:59,22 138897
23/11/2023 18:13:10,16 138411
23/11/2023 18:13:21,13 134894
23/11/2023 18:13:32,17 134835
23/11/2023 18:13:43,12 134857
23/11/2023 18:13:54,19 84987
23/11/2023 18:14:05,22 88285
23/11/2023 18:14:16,18 89277
23/11/2023 18:14:27,16 90126
23/11/2023 18:14:38,19 81612
23/11/2023 18:14:49,17 82697
23/11/2023 18:15:00,22 108337
23/11/2023 18:15:11,22 109818
23/11/2023 18:15:22,21 109966
23/11/2023 18:15:33,21 115301
23/11/2023 18:15:44,15 118125
23/11/2023 18:15:55,15 115369
23/11/2023 18:16:06,11 120688
23/11/2023 18:16:16,12 118983
23/11/2023 18:16:27,12 119009
23/11/2023 18:16:38,12 118993
23/11/2023 18:16:49,16 119099
23/11/2023 18:17:00,19 119521
23/11/2023 18:17:11,20 118514
23/11/2023 18:17:22,13 118502
23/11/2023 18:17:33,20 118500
23/11/2023 18:17:44,18 85026
23/11/2023 18:17:55,12 81818
23/11/2023 18:18:06,22 92576
23/11/2023 18:18:17,21 93482
23/11/2023 18:18:28,19 85856
23/11/2023 18:18:39,17 87572
23/11/2023 18:18:50,19 104728
23/11/2023 18:19:01,12 105580
23/11/2023 18:19:12,14 106593
23/11/2023 18:19:23,18 109001
23/11/2023 18:19:34,18 113018
23/11/2023 18:19:45,14 114939
23/11/2023 18:19:56,22 115947
23/11/2023 18:20:07,14 117146
23/11/2023 18:20:18,19 117183
23/11/2023 18:20:29,12 117169
23/11/2023 18:20:40,14 117235
23/11/2023 18:20:51,20 116439
23/11/2023 18:21:02,12 115939
23/11/2023 18:21:13,18 115882
23/11/2023 18:21:24,17 131109
23/11/2023 18:21:35,22 89561
23/11/2023 18:21:46,13 82294
23/11/2023 18:21:57,17 111585
