Inicio: 26/11/2023 16:15:09,49 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue-2.txt
26/11/2023 17:37:09,19 127763
26/11/2023 17:37:20,21 126176
26/11/2023 17:37:31,21 126717
26/11/2023 17:37:42,21 128183
26/11/2023 17:37:53,15 128175
26/11/2023 17:38:04,20 138171
26/11/2023 17:38:15,13 112224
26/11/2023 17:38:26,20 127292
26/11/2023 17:38:37,12 126204
26/11/2023 17:38:47,15 125660
26/11/2023 17:38:58,16 128574
26/11/2023 17:39:09,15 128652
26/11/2023 17:39:20,19 127666
26/11/2023 17:39:31,18 126160
26/11/2023 17:39:42,12 126740
26/11/2023 17:39:53,15 127876
26/11/2023 17:40:04,15 127906
26/11/2023 17:40:15,21 139059
26/11/2023 17:40:26,21 112976
26/11/2023 17:40:37,15 131495
26/11/2023 17:40:48,22 125917
26/11/2023 17:40:59,21 125525
26/11/2023 17:41:10,20 127324
26/11/2023 17:41:21,16 127402
26/11/2023 17:41:32,12 126212
26/11/2023 17:41:43,22 126621
26/11/2023 17:41:54,12 127980
26/11/2023 17:42:05,18 128010
26/11/2023 17:42:16,15 137992
26/11/2023 17:42:27,12 111432
26/11/2023 17:42:38,12 130278
26/11/2023 17:42:49,21 125380
26/11/2023 17:43:00,19 124894
26/11/2023 17:43:11,22 127721
26/11/2023 17:43:22,16 124590
26/11/2023 17:43:33,18 126560
26/11/2023 17:43:44,22 124103
26/11/2023 17:43:55,14 125277
26/11/2023 17:44:06,14 126419
26/11/2023 17:44:17,13 126439
26/11/2023 17:44:28,14 109516
26/11/2023 17:44:39,16 111011
26/11/2023 17:44:50,15 129341
26/11/2023 17:45:01,15 123711
26/11/2023 17:45:12,15 123647
26/11/2023 17:45:23,21 125767
26/11/2023 17:45:34,18 125589
26/11/2023 17:45:45,15 123959
26/11/2023 17:45:56,17 124383
26/11/2023 17:46:07,13 125632
26/11/2023 17:46:18,17 125644
26/11/2023 17:46:29,20 133640
26/11/2023 17:46:40,22 107120
26/11/2023 17:46:51,22 119887
26/11/2023 17:47:02,18 114613
26/11/2023 17:47:13,20 114141
26/11/2023 17:47:24,20 117650
26/11/2023 17:47:35,12 116234
26/11/2023 17:47:46,20 117427
26/11/2023 17:47:57,16 115409
26/11/2023 17:48:08,12 115940
26/11/2023 17:48:19,18 117071
26/11/2023 17:48:30,20 126039
26/11/2023 17:48:41,18 99702
26/11/2023 17:48:52,13 101305
26/11/2023 17:49:03,15 119254
26/11/2023 17:49:14,16 113844
26/11/2023 17:49:25,16 115512
26/11/2023 17:49:36,21 116896
26/11/2023 17:49:47,21 115817
26/11/2023 17:49:58,18 114312
26/11/2023 17:50:09,13 115042
26/11/2023 17:50:20,20 116262
26/11/2023 17:50:31,17 116264
26/11/2023 17:50:42,14 126710
26/11/2023 17:50:53,18 100709
26/11/2023 17:51:04,20 119524
26/11/2023 17:51:15,22 114273
26/11/2023 17:51:26,13 113825
26/11/2023 17:51:37,18 114287
26/11/2023 17:51:48,20 114349
26/11/2023 17:51:59,13 115381
26/11/2023 17:52:10,13 112695
26/11/2023 17:52:21,13 113293
26/11/2023 17:52:32,20 114369
26/11/2023 17:52:43,17 124166
26/11/2023 17:52:54,14 98509
26/11/2023 17:53:05,16 99727
26/11/2023 17:53:16,12 82075
26/11/2023 17:53:27,19 112751
26/11/2023 17:53:38,13 115651
26/11/2023 17:53:49,14 115451
26/11/2023 17:54:00,15 114440
26/11/2023 17:54:11,16 112916
26/11/2023 17:54:22,17 113697
26/11/2023 17:54:33,12 114865
26/11/2023 17:54:44,18 114877
26/11/2023 17:54:55,20 125708
26/11/2023 17:55:06,20 99828
26/11/2023 17:55:17,14 118194
26/11/2023 17:55:28,16 112900
26/11/2023 17:55:39,12 112488
26/11/2023 17:55:50,12 114296
26/11/2023 17:56:01,12 114510
26/11/2023 17:56:12,21 115362
26/11/2023 17:56:23,18 114285
26/11/2023 17:56:34,22 115895
26/11/2023 17:56:45,12 115838
26/11/2023 17:56:56,14 125822
26/11/2023 17:57:07,14 99847
26/11/2023 17:57:18,16 119270
26/11/2023 17:57:29,16 114463
26/11/2023 17:57:40,15 114074
26/11/2023 17:57:51,17 116826
26/11/2023 17:58:02,18 116970
26/11/2023 17:58:13,17 115872
26/11/2023 17:58:24,19 114448
26/11/2023 17:58:35,20 114776
26/11/2023 17:58:46,12 115898
26/11/2023 17:58:57,14 115773
26/11/2023 17:59:08,18 126781
26/11/2023 17:59:19,16 100476
