Inicio: 26/11/2023 13:00:20,53 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue.txt
26/11/2023 14:10:23,20 124847
26/11/2023 14:10:34,17 99856
26/11/2023 14:10:45,12 118682
26/11/2023 14:10:56,18 113856
26/11/2023 14:11:07,17 113416
26/11/2023 14:11:18,20 116038
26/11/2023 14:11:29,14 114755
26/11/2023 14:11:40,22 116061
26/11/2023 14:11:51,16 113946
26/11/2023 14:12:02,14 114677
26/11/2023 14:12:13,21 115800
26/11/2023 14:12:24,17 125406
26/11/2023 14:12:35,12 99031
26/11/2023 14:12:46,14 100442
26/11/2023 14:12:57,14 118653
26/11/2023 14:13:08,12 113363
26/11/2023 14:13:19,21 116998
26/11/2023 14:13:30,14 116228
26/11/2023 14:13:40,19 115419
26/11/2023 14:13:51,21 114344
26/11/2023 14:14:02,14 115161
26/11/2023 14:14:13,21 116393
26/11/2023 14:14:24,17 116300
26/11/2023 14:14:35,14 126985
26/11/2023 14:14:46,17 101318
26/11/2023 14:14:57,22 120525
26/11/2023 14:15:08,12 115275
26/11/2023 14:15:19,14 114879
26/11/2023 14:15:30,18 117630
26/11/2023 14:15:41,15 116345
26/11/2023 14:15:52,22 117502
26/11/2023 14:16:03,19 115632
26/11/2023 14:16:14,13 116267
26/11/2023 14:16:25,15 117423
26/11/2023 14:16:36,14 126977
26/11/2023 14:16:47,22 100952
26/11/2023 14:16:58,15 102412
26/11/2023 14:17:09,22 120484
26/11/2023 14:17:20,12 114970
26/11/2023 14:17:30,21 114855
26/11/2023 14:17:41,13 116420
26/11/2023 14:17:52,14 116263
26/11/2023 14:18:03,20 114637
26/11/2023 14:18:14,12 115302
26/11/2023 14:18:25,21 116618
26/11/2023 14:18:36,20 116566
26/11/2023 14:18:47,14 127372
26/11/2023 14:18:58,19 100565
26/11/2023 14:19:09,19 119559
26/11/2023 14:19:20,21 114269
26/11/2023 14:19:31,18 113885
26/11/2023 14:19:42,21 116688
26/11/2023 14:19:53,18 115444
26/11/2023 14:20:04,19 116674
26/11/2023 14:20:15,18 114459
26/11/2023 14:20:26,16 115118
26/11/2023 14:20:37,17 116217
26/11/2023 14:20:48,14 125484
26/11/2023 14:20:59,21 99636
26/11/2023 14:21:10,18 101228
26/11/2023 14:21:21,12 119269
26/11/2023 14:21:32,20 113919
26/11/2023 14:21:43,13 115902
26/11/2023 14:21:54,12 117074
26/11/2023 14:22:05,18 115145
26/11/2023 14:22:16,13 112942
26/11/2023 14:22:27,17 113922
26/11/2023 14:22:38,13 115087
26/11/2023 14:22:49,18 115162
26/11/2023 14:23:00,15 126274
26/11/2023 14:23:11,14 100433
26/11/2023 14:23:22,17 119059
26/11/2023 14:23:33,20 113809
26/11/2023 14:23:44,18 113228
26/11/2023 14:23:55,14 114904
26/11/2023 14:24:06,11 115048
26/11/2023 14:24:16,17 115972
26/11/2023 14:24:27,19 113830
26/11/2023 14:24:38,12 114592
26/11/2023 14:24:49,18 115764
26/11/2023 14:25:00,19 125268
26/11/2023 14:25:11,17 98935
26/11/2023 14:25:22,20 100451
26/11/2023 14:25:33,12 118440
26/11/2023 14:25:43,21 113150
26/11/2023 14:25:54,22 113107
26/11/2023 14:26:05,21 116426
26/11/2023 14:26:16,14 115116
26/11/2023 14:26:27,21 113492
26/11/2023 14:26:38,15 114246
26/11/2023 14:26:49,12 115474
26/11/2023 14:27:00,19 115366
26/11/2023 14:27:11,22 125747
26/11/2023 14:27:22,20 99743
26/11/2023 14:27:33,16 118315
26/11/2023 14:27:44,14 113309
26/11/2023 14:27:55,16 112893
26/11/2023 14:28:06,22 116813
26/11/2023 14:28:17,20 116792
26/11/2023 14:28:28,14 117916
26/11/2023 14:28:39,16 115735
26/11/2023 14:28:50,17 116480
26/11/2023 14:29:01,21 117685
26/11/2023 14:29:12,14 127663
26/11/2023 14:29:23,18 101713
26/11/2023 14:29:34,12 103137
26/11/2023 14:29:45,13 121022
26/11/2023 14:29:55,21 115756
26/11/2023 14:30:06,22 119459
26/11/2023 14:30:17,13 118586
26/11/2023 14:30:28,17 117757
26/11/2023 14:30:39,13 116191
26/11/2023 14:30:50,20 117251
26/11/2023 14:31:01,12 118415
26/11/2023 14:31:12,19 118431
26/11/2023 14:31:23,17 128995
26/11/2023 14:31:34,14 103249
26/11/2023 14:31:45,13 122101
26/11/2023 14:31:55,21 116634
26/11/2023 14:32:06,20 116090
26/11/2023 14:32:17,21 118869
26/11/2023 14:32:28,16 117591
26/11/2023 14:32:39,12 118837
26/11/2023 14:32:50,18 116538
26/11/2023 14:33:01,16 117168
26/11/2023 14:33:12,20 118546
26/11/2023 14:33:23,15 128409
26/11/2023 14:33:34,19 102021
26/11/2023 14:33:45,22 103545
26/11/2023 14:33:56,15 121641
26/11/2023 14:34:07,17 116204
26/11/2023 14:34:18,14 117787
26/11/2023 14:34:29,21 119187
26/11/2023 14:34:40,17 118142
26/11/2023 14:34:51,19 116544
26/11/2023 14:35:02,18 117443
26/11/2023 14:35:13,13 118462
26/11/2023 14:35:24,18 118438
26/11/2023 14:35:35,13 129156
26/11/2023 14:35:46,13 103266
26/11/2023 14:35:57,18 122040
26/11/2023 14:36:08,14 116846
26/11/2023 14:36:19,19 116992
26/11/2023 14:36:30,22 118751
26/11/2023 14:36:41,18 118952
26/11/2023 14:36:52,13 119824
26/11/2023 14:37:03,22 117658
26/11/2023 14:37:14,15 118305
26/11/2023 14:37:25,19 119416
26/11/2023 14:37:36,11 129177
26/11/2023 14:37:47,13 102983
26/11/2023 14:37:58,22 104257
26/11/2023 14:38:09,18 92776
26/11/2023 14:38:20,13 117001
26/11/2023 14:38:31,19 120279
26/11/2023 14:38:42,18 120311
26/11/2023 14:38:53,21 119273
26/11/2023 14:39:04,16 117812
26/11/2023 14:39:15,16 118954
26/11/2023 14:39:26,19 120170
26/11/2023 14:39:37,14 120126
26/11/2023 14:39:48,21 130921
26/11/2023 14:39:59,20 104925
26/11/2023 14:40:10,16 123495
26/11/2023 14:40:21,17 118013
26/11/2023 14:40:32,21 117653
26/11/2023 14:40:43,13 119380
26/11/2023 14:40:54,22 119496
26/11/2023 14:41:05,18 120436
26/11/2023 14:41:16,17 120877
26/11/2023 14:41:27,14 120239
26/11/2023 14:41:38,21 120231
26/11/2023 14:41:49,16 130114
26/11/2023 14:42:00,17 104280
26/11/2023 14:42:11,12 123440
26/11/2023 14:42:22,22 118651
26/11/2023 14:42:33,18 118230
26/11/2023 14:42:44,18 120975
26/11/2023 14:42:55,12 121113
26/11/2023 14:43:05,19 119976
26/11/2023 14:43:16,18 118534
26/11/2023 14:43:27,13 119600
26/11/2023 14:43:38,13 120745
26/11/2023 14:43:49,14 120768
26/11/2023 14:44:00,13 131651
26/11/2023 14:44:11,21 105770
26/11/2023 14:44:22,12 124297
26/11/2023 14:44:33,13 118887
26/11/2023 14:44:44,13 118772
26/11/2023 14:44:55,17 120466
26/11/2023 14:45:06,14 120595
26/11/2023 14:45:17,15 121260
26/11/2023 14:45:28,14 119362
26/11/2023 14:45:39,20 120828
26/11/2023 14:45:50,19 120804
26/11/2023 14:46:01,22 130773
26/11/2023 14:46:12,18 105073
26/11/2023 14:46:23,14 124417
26/11/2023 14:46:34,17 119107
26/11/2023 14:46:45,12 118619
26/11/2023 14:46:55,21 121349
26/11/2023 14:47:06,16 121571
26/11/2023 14:47:17,22 120495
26/11/2023 14:47:28,16 118962
26/11/2023 14:47:39,12 119906
26/11/2023 14:47:50,16 121261
26/11/2023 14:48:01,18 121289
26/11/2023 14:48:12,17 132029
26/11/2023 14:48:23,20 106050
26/11/2023 14:48:34,20 124600
26/11/2023 14:48:45,18 119054
26/11/2023 14:48:56,22 118766
26/11/2023 14:49:07,15 120605
26/11/2023 14:49:18,14 120586
26/11/2023 14:49:29,22 123403
26/11/2023 14:49:40,20 119446
26/11/2023 14:49:51,18 121004
26/11/2023 14:50:02,16 120887
26/11/2023 14:50:13,15 130892
26/11/2023 14:50:24,11 105129
26/11/2023 14:50:35,13 117445
26/11/2023 14:50:46,21 119171
26/11/2023 14:50:57,21 118771
26/11/2023 14:51:08,23 121676
26/11/2023 14:51:19,22 121754
26/11/2023 14:51:30,19 120713
26/11/2023 14:51:41,14 119185
26/11/2023 14:51:51,20 119791
26/11/2023 14:52:02,18 121244
26/11/2023 14:52:13,17 117559
26/11/2023 14:52:24,14 128732
26/11/2023 14:52:35,12 102190
26/11/2023 14:52:45,19 119756
26/11/2023 14:52:56,13 113598
26/11/2023 14:53:07,16 113324
26/11/2023 14:53:18,14 115330
