Inicio: 28/11/2023 14:13:49,28 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: teste-media-error.txt
28/11/2023 15:39:00,19 167975
28/11/2023 15:39:11,14 167971
28/11/2023 15:39:22,13 168015
28/11/2023 15:39:33,12 167895
28/11/2023 15:39:44,16 166795
28/11/2023 15:39:55,21 166726
28/11/2023 15:40:06,14 167824
28/11/2023 15:40:17,10 169534
28/11/2023 15:40:28,19 169518
28/11/2023 15:40:39,20 169610
28/11/2023 15:40:50,12 169707
28/11/2023 15:41:01,20 144490
28/11/2023 15:41:12,21 181516
28/11/2023 15:41:23,12 181849
28/11/2023 15:41:34,13 227818
28/11/2023 15:41:45,16 228392
28/11/2023 15:41:56,19 165723
28/11/2023 15:42:07,17 166252
28/11/2023 15:42:18,15 148903
28/11/2023 15:42:29,16 122829
28/11/2023 15:42:40,13 161795
28/11/2023 15:42:51,13 160668
28/11/2023 15:43:02,12 162142
28/11/2023 15:43:13,21 131807
28/11/2023 15:43:24,22 125833
28/11/2023 15:43:35,15 183803
28/11/2023 15:43:46,15 183681
28/11/2023 15:43:57,15 179576
28/11/2023 15:44:08,16 177829
28/11/2023 15:44:19,18 177842
28/11/2023 15:44:30,16 178018
28/11/2023 15:44:41,15 177523
28/11/2023 15:44:52,13 169326
28/11/2023 15:45:03,20 169308
28/11/2023 15:45:14,13 169341
28/11/2023 15:45:25,12 168947
28/11/2023 15:45:36,19 168602
28/11/2023 15:45:47,16 167991
28/11/2023 15:45:58,18 167949
28/11/2023 15:46:09,16 167645
28/11/2023 15:46:20,19 167250
28/11/2023 15:46:31,21 167216
28/11/2023 15:46:42,22 166624
28/11/2023 15:46:53,14 168340
28/11/2023 15:47:04,13 167784
28/11/2023 15:47:15,22 159914
28/11/2023 15:47:26,20 160948
28/11/2023 15:47:37,18 145963
28/11/2023 15:47:48,22 124755
28/11/2023 15:47:59,19 184953
28/11/2023 15:48:10,11 225630
28/11/2023 15:48:21,18 226635
28/11/2023 15:48:32,17 225484
28/11/2023 15:48:43,19 166918
28/11/2023 15:48:54,15 153955
28/11/2023 15:49:05,14 167391
28/11/2023 15:49:16,21 131542
28/11/2023 15:49:27,21 173805
28/11/2023 15:49:38,14 173063
28/11/2023 15:49:49,17 148671
28/11/2023 15:50:00,17 142099
28/11/2023 15:50:11,13 197427
28/11/2023 15:50:22,22 197921
28/11/2023 15:50:33,15 193905
28/11/2023 15:50:44,21 191842
28/11/2023 15:50:55,18 178599
28/11/2023 15:51:06,12 168756
28/11/2023 15:51:17,19 169637
28/11/2023 15:51:28,21 161471
28/11/2023 15:51:39,20 161380
28/11/2023 15:51:50,13 161795
28/11/2023 15:52:01,20 161791
28/11/2023 15:52:12,17 162719
28/11/2023 15:52:23,19 162891
28/11/2023 15:52:34,18 162880
28/11/2023 15:52:45,21 162686
28/11/2023 15:52:56,13 160961
28/11/2023 15:53:07,15 160998
28/11/2023 15:53:18,13 160867
28/11/2023 15:53:29,11 164352
28/11/2023 15:53:40,16 165972
28/11/2023 15:53:51,11 165800
28/11/2023 15:54:02,18 165790
28/11/2023 15:54:13,20 165973
28/11/2023 15:54:24,15 147311
28/11/2023 15:54:35,20 191204
28/11/2023 15:54:46,13 231316
28/11/2023 15:54:57,13 229539
28/11/2023 15:55:08,17 230893
28/11/2023 15:55:19,14 171632
28/11/2023 15:55:30,19 157090
28/11/2023 15:55:41,13 178399
28/11/2023 15:55:52,12 133671
28/11/2023 15:56:03,13 173444
28/11/2023 15:56:14,16 173330
28/11/2023 15:56:25,20 175176
28/11/2023 15:56:36,14 146069
28/11/2023 15:56:47,19 197398
28/11/2023 15:56:58,19 198009
28/11/2023 15:57:09,16 195975
28/11/2023 15:57:20,21 177489
28/11/2023 15:57:31,20 170267
28/11/2023 15:57:42,17 169765
28/11/2023 15:57:53,12 169300
28/11/2023 15:58:04,13 161013
28/11/2023 15:58:15,14 160634
28/11/2023 15:58:26,21 159893
28/11/2023 15:58:37,18 159883
28/11/2023 15:58:48,21 161006
28/11/2023 15:58:59,18 160992
28/11/2023 15:59:10,21 161012
28/11/2023 15:59:21,11 160992
28/11/2023 15:59:32,17 160923
28/11/2023 15:59:43,13 160911
28/11/2023 15:59:54,15 160885
28/11/2023 16:00:05,13 163602
28/11/2023 16:00:16,21 165313
